Designator,Mid X,Mid Y,Rotation,Layer
C11,160.08,-80.25,180.0,top
C12,160.08,-79.0,180.0,top
C13,165.0,-64.67,270.0,top
C14,166.25,-64.67,270.0,top
C15,164.92,-62.25,0.0,top
C16,164.92,-61.0,0.0,top
C17,166.25,-67.5,90.0,top
C18,165.0,-67.5,90.0,top
C19,168.33,-93.5,0.0,top
C20,159.67,-53.5,0.0,top
C21,159.0,-66.42,90.0,top
C22,160.25,-84.0,0.0,top
C23,168.08,-78.5,0.0,top
C24,169.755,-58.42,90.0,top
C25,169.75,-48.17,270.0,top
C26,160.75,-82.0,90.0,top
C27,162.92,-84.75,0.0,top
C7,159.25,-82.0,90.0,top
C9,162.92,-86.0,0.0,top
R10,164.905,-51.05,270.0,top
R11,160.95,-51.05,270.0,top
R4,171.005,-59.25,270.0,top
R7,171.005,-63.25,90.0,top
R8,171.0,-52.25,90.0,top
R9,171.0,-48.18,270.0,top
U1,163.75,-81.75,90.0,top
U2,162.1,-66.0,270.0,top
USB1_UPSTREAM1,163.585,-46.43,180.0,top
USB2,155.16,-58.55,270.0,top
USB3,155.16,-73.55,270.0,top
USB4,155.16,-88.575,270.0,top
USB5,174.62,-61.25,90.0,top
USB6,174.62,-50.25,90.0,top
USB7,172.665,-73.55,90.0,top
USB8,172.665,-88.55,90.0,top
